Station Name,Province,Year,Mean Temperature (C),Total Precipitation (mm)
GIBSONS GOWER POINT,BC,1971,17.4,17.5
MERRY ISLAND LIGHTSTATION,BC,1971,17.5,9.4
POWELL RIVER,BC,1971,18.2,21.9
POWELL RIVER A,BC,1971,17.9,17.5
CAPE ST JAMES,BC,1971,13.0,20.6
LANGARA,BC,1971,11.8,25.2
PORT CLEMENTS,BC,1971,16.1,4.4
SANDSPIT A,BC,1971,15.0,17.0
TASU SOUND,BC,1971,15.8,11.0
TLELL,BC,1971,15.2,8.7
BELLA COOLA,BC,1971,17.5,48.3
BELLA COOLA BC HYDRO,BC,1971,17.3,48.7
BONILLA ISLAND,BC,1971,12.5,21.3
EGG ISLAND,BC,1971,13.0,24.1
ETHELDA BAY,BC,1971,13.8,35.4
GENESEE RIVER,BC,1971,17.0,17.3
KEMANO,BC,1971,17.8,26.2
KILDALA,BC,1971,17.4,43.6
KITIMAT TOWNSITE,BC,1971,18.5,17.1
KITIMAT 2,BC,1971,18.9,17.1
MCINNES ISLAND,BC,1971,13.9,38.1
OCEAN FALLS,BC,1971,17.0,78.1
PRINCE RUPERT A,BC,1971,13.0,11.6
STEWART BCHPA,BC,1971,14.9,25.4
TERRACE A,BC,1971,18.8,24.1
TERRACE PCC,BC,1971,18.6,13.8
WADHAMS CDF,BC,1971,15.4,42.7
AIYANSH,BC,1971,18.1,9.5
BABINE LAKE PINKUT CREEK,BC,1971,17.0,55.1
FORT BABINE,BC,1971,13.2,75.2
HOUSTON,BC,1971,16.1,31.2
KITSAULT MINESITE,BC,1971,12.9,23.1
NEW HAZELTON,BC,1971,18.0,18.8
SMITHERS A,BC,1971,16.5,34.2
SMITHERS 4E,BC,1971,15.6,28.4
TOPLEY LANDING,BC,1971,16.3,44.2
ALEXIS CREEK TAUTRI CRK,BC,1971,12.9,19.3
BIG CREEK,BC,1971,14.8,20.4
GRASSY PLAINS,BC,1971,14.7,57.7
LAJOIE DAM,BC,1971,18.5,11.5
OOTSA L SKINS L SPILLWAY,BC,1971,15.5,56.4
PEMBERTON BCFS,BC,1971,19.4,13.0
PUNTZI MOUNTAIN,BC,1971,15.3,34.6
SOUTHBANK,BC,1971,15.9,46.7
TAHTSA LAKE WEST,BC,1971,13.3,30.8
TATELKUZ LAKE,BC,1971,17.2,73.1
TATLAYOKO LAKE,BC,1971,15.3,7.6
WISTARIA,BC,1971,14.7,60.1
HOUSTON MCBRIDE LAKE,BC,1971,15.3,50.3
ALEZA LAKE,BC,1971,16.3,83.9
BARKERVILLE,BC,1971,13.0,90.8
BOSS MOUNTAIN,BC,1971,13.1,32.5
BURNS LAKE,BC,1971,15.5,66.3
BURNS LAKE DECKER LAKE,BC,1971,17.5,7.4
DOME CREEK,BC,1971,15.4,70.6
FORT ST JAMES,BC,1971,16.3,62.4
HIXON,BC,1971,17.3,59.1
HORSEFLY BCFS,BC,1971,15.4,69.1
KERSLEY,BC,1971,16.0,74.7
MCBRIDE 4SE,BC,1971,16.3,59.3
MCGREGOR,BC,1971,16.1,75.3
OCHILTREE MIOCENE,BC,1971,15.9,62.2
150 MILE HOUSE 7N,BC,1971,15.5,62.6
PRINCE GEORGE A,BC,1971,15.9,84.1
QUESNEL A,BC,1971,17.2,74.7
QUESNEL MOOSE HEIGHTS,BC,1971,16.5,69.1
VANDERHOOF 2NE,BC,1971,16.0,76.2
WILLIAMS LAKE A,BC,1971,15.8,42.7
WILLIAMS LAKE GLENDALE,BC,1971,17.6,58.0
VANDERHOOF BRAESIDE RD,BC,1971,15.6,84.0
FRASER LAKE NORTH SHORE,BC,1971,16.3,76.1
ABBOTSFORD A,BC,1971,17.5,31.9
AGASSIZ CDA,BC,1971,18.6,32.0
ALDERGROVE,BC,1971,16.9,49.4
ALOUETTE LAKE,BC,1971,18.1,82.5
BUNTZEN LAKE,BC,1971,18.4,41.7
BURNABY MTN TERMINAL,BC,1971,18.5,35.3
BURNABY SIMON FRASER U,BC,1971,18.1,40.1
CHILLIWACK,BC,1971,19.5,15.7
CHILLIWACK GIBSON ROAD,BC,1971,18.9,19.4
COQUITLAM LAKE,BC,1971,17.0,63.6
CULTUS LAKE,BC,1971,18.9,14.7
DELTA LADNER EAST,BC,1971,17.5,26.3
DELTA LADNER SOUTH,BC,1971,17.1,28.7
HANEY CORRL INSTN,BC,1971,18.7,67.2
HANEY EAST,BC,1971,18.2,59.2
HANEY UBC RF ADMIN,BC,1971,17.7,57.9
HANEY UBC RF LOON LAKE,BC,1971,17.6,74.2
HANEY UBC RF SPUR 17,BC,1971,18.3,67.5
HOLLYBURN RIDGE,BC,1971,14.8,63.0
LADNER,BC,1971,16.8,21.0
LANGLEY LOCHIEL,BC,1971,17.4,35.6
MILNER AIC,BC,1971,16.7,38.9
MISSION,BC,1971,18.4,26.9
MISSION WEST ABBEY,BC,1971,18.2,33.9
NEW WESTMINSTER BC PEN,BC,1971,18.3,17.7
PITT POLDER,BC,1971,18.2,46.3
PORT COQUITLAM CITY YARD,BC,1971,17.8,63.0
PORT MOODY CENTRE,BC,1971,18.7,36.1
ROSEDALE,ON,1971,19.1,34.5
PORT MOODY GLENAYRE,BC,1971,18.2,37.5
STAVE FALLS,BC,1971,18.7,70.9
SUMAS PRAIRIE,BC,1971,17.6,22.5
SURREY MUNICIPAL HALL,BC,1971,17.9,20.0
SURREY NEWTON,BC,1971,17.3,29.9
VANCOUVER DUNBAR SOUTH,BC,1971,18.8,24.2
VANCOUVER HARBOUR CS,BC,1971,14.3,25.6
VANCOUVER INT'L A,BC,1971,17.3,34.0
VANCOUVER OAK 53,BC,1971,18.5,23.3
VANCOUVER UBC,BC,1971,17.3,16.7
WHALLEY FOREST NURSERY,BC,1971,19.3,36.1
HANEY UBC RF MARC,BC,1971,18.0,51.3
N VANCOUVER CLOVERLEY,BC,1971,18.2,25.4
ALLISON PASS,BC,1971,12.8,22.1
HELLS GATE,BC,1971,21.9,13.8
HOPE A,BC,1971,19.5,16.6
HOPE KAWKAWA LAKE,BC,1971,19.1,21.8
HOPE SLIDE,BC,1971,15.2,9.9
KWOTLENEMO LAKE,BC,1971,17.0,25.8
LYTTON,BC,1971,22.7,34.3
SHALALTH,BC,1971,22.8,14.0
APEX MTN LODGE,BC,1971,12.3,29.0
ARAWANA,BC,1971,20.2,11.2
HEDLEY,BC,1971,20.5,19.3
HIGHLAND VALLEY BCCL,BC,1971,16.1,21.6
HIGHLAND VALLEY LORNEX,BC,1971,16.1,8.2
JOE RICH CREEK,BC,1971,15.3,50.8
KELOWNA A,BC,1971,18.9,32.6
KELOWNA PC BURNETTS NURSERY,BC,1971,20.0,13.2
KEREMEOS,BC,1971,22.1,7.1
MCCULLOCH,BC,1971,13.3,62.0
MERRITT CRAIGMONT MINES,BC,1971,18.4,2.0
MERRITT STP,BC,1971,18.8,1.3
MT KOBAU OBSERVATORY,BC,1971,12.9,36.9
NARAMATA,BC,1971,19.6,11.8
OKANAGAN CENTRE,BC,1971,19.6,28.2
OLIVER,BC,1971,20.1,18.0
OLIVER STP,BC,1971,22.7,28.7
OSOYOOS,BC,1971,21.9,20.2
OSOYOOS WEST,BC,1971,22.8,9.2
PEACHLAND,BC,1971,21.8,14.0
PEACHLAND BRENDA MINES,BC,1971,15.3,16.0
PENTICTON A,BC,1971,20.3,24.7
PRINCETON A,BC,1971,18.3,9.2
SUMMERLAND CDA,BC,1971,21.0,12.0
VERNON COLDSTREAM RANCH,BC,1971,19.2,28.4
VERNON SOUTHWEST,BC,1971,20.1,21.9
WINFIELD,BC,1971,20.4,26.7
GRAND FORKS,BC,1971,19.7,38.5
GRAND FORKS PHOENIX,BC,1971,16.3,50.1
GREENWOOD,BC,1971,17.2,42.0
CASTLEGAR A,BC,1971,19.7,60.5
CASTLEGAR BCHPA DAM,BC,1971,20.0,50.7
COLUMBIA GARDENS NORTH,BC,1971,19.8,46.8
CRESTON,BC,1971,19.3,23.8
DEER PARK,BC,1971,18.5,31.9
DUNCAN LAKE DAM,BC,1971,17.0,22.3
FAUQUIER,BC,1971,18.2,28.2
KASLO,BC,1971,17.7,45.9
LARDEAU,BC,1971,17.1,26.1
NAKUSP,BC,1971,18.9,28.5
NEEDLES WHATSHAN BCHPA,BC,1971,19.3,35.1
NELSON 2,BC,1971,19.4,29.3
NEW DENVER,BC,1971,18.8,33.1
ROBSON,BC,1971,18.8,45.7
ROSSLAND MACLEAN,BC,1971,17.5,40.7
SOUTH SLOCAN,BC,1971,18.4,47.6
WANETA,BC,1971,18.6,39.6
WARFIELD,BC,1971,20.0,35.7
ABERFELDIE,BC,1971,18.2,33.8
CANAL FLATS RANGER STN,BC,1971,18.9,23.7
CRANBROOK A,BC,1971,18.0,23.6
ELKO,BC,1971,18.7,56.9
FERNIE,BC,1971,15.4,66.1
FORDING RIVER COMINCO,BC,1971,13.3,39.9
FT STEELE DANDY CRK,BC,1971,16.8,28.2
GRASMERE,BC,1971,19.1,40.4
KIMBERLEY,BC,1971,15.3,21.0
KOOTENAY NP KTNY CRSG,BC,1971,14.2,31.6
KOOTENAY NP WEST GATE,BC,1971,18.1,37.9
NATAL HARMER RIDGE,BC,1971,15.0,6.9
NATAL KAISER RESOURCES,BC,1971,15.4,33.2
ARMSTRONG,BC,1971,19.4,16.7
ARMSTRONG HULLCAR,BC,1971,23.8,3.0
ASHCROFT M,BC,1971,21.0,9.7
BARRIERE,BC,1971,19.0,31.9
BLUE RIVER A,BC,1971,17.0,59.0
BLUE RIVER NORTH,BC,1971,16.7,67.7
CHASE,BC,1971,19.7,15.5
DARFIELD,BC,1971,18.9,30.5
ENDERBY,BC,1971,19.6,25.9
ENDERBY ASHTON CREEK,BC,1971,19.3,28.0
FALKLAND SALMON VALLEY,BC,1971,18.9,37.6
HAT CREEK,BC,1971,16.1,14.8
HEFFLEY CREEK,BC,1971,17.4,17.9
KAMLOOPS,BC,1971,22.3,16.5
KAMLOOPS A,BC,1971,21.4,15.5
KAMLOOPS CDA,BC,1971,22.2,16.4
KAMLOOPS TUNSTALL CRES,BC,1971,21.5,16.0
LOON LAKE,BC,1971,17.1,23.1
LUMBY,BC,1971,18.6,24.3
MALAKWA EAGLE R HATCHERY,BC,1971,18.4,35.6
MT LOLO KAMLOOPS,BC,1971,13.7,33.3
100 MILE HOUSE,BC,1971,16.0,36.1
RICHLAND,BC,1971,17.9,28.6
SALMON ARM,BC,1971,19.4,24.5
SALMON ARM 2,BC,1971,19.8,26.1
SHUSWAP FALLS,BC,1971,18.6,36.8
SICAMOUS,BC,1971,20.1,43.7
SORRENTO EAST,BC,1971,19.3,29.8
VAVENBY,BC,1971,18.1,42.0
WESTWOLD,BC,1971,17.8,15.3
DONALD,BC,1971,16.2,24.1
GLACIER NP ROGERS PASS,BC,1971,13.5,29.1
GOLDEN A,BC,1971,17.7,18.1
MICA DAM,BC,1971,17.9,38.3
REVELSTOKE AIRPORT RD,BC,1971,18.3,33.5
REVELSTOKE MT COPELAND,BC,1971,10.8,14.2
SPILLIMACHEEN,BC,1971,16.5,28.0
VALEMOUNT,BC,1971,16.4,62.8
VALEMOUNT EAST,BC,1971,15.7,86.7
GLACIER NP MT FIDELITY,BC,1971,11.3,65.2
ARRAS,BC,1971,15.0,96.3
BALDONNEL,BC,1971,16.5,120.4
CECIL LAKE CDA,BC,1971,15.4,56.8
CHETWYND BCFS,BC,1971,16.0,51.4
DAWSON CREEK A,BC,1971,16.0,60.6
FORT ST JOHN A,BC,1971,16.6,133.3
GERMANSEN LANDING,BC,1971,15.8,54.3
HUDSON HOPE BCHPA DAM,BC,1971,16.5,119.7
MACKENZIE A,BC,1971,16.5,56.6
CASSIAR,BC,1971,13.4,8.6
DEASE LAKE,BC,1971,14.1,19.6
FORT NELSON A,BC,1971,18.1,43.6
FT NELSON CHURCHILL MINE,BC,1971,12.0,132.6
LOWER POST,BC,1971,17.3,1.6
MUNCHO LAKE,BC,1971,15.7,47.5
ATLIN,BC,1971,13.5,0.3
HAINES APPS NO 2,BC,1971,13.3,5.1
KINASKAN LAKE,BC,1971,13.8,19.6
MULE CREEK,BC,1971,10.7,11.9
SCHAFT CREEK,BC,1971,14.0,32.3
ANVIL,YT,1971,11.8,24.5
BEAVER CREEK A,YT,1971,13.9,42.0
BOUNDARY,YT,1971,12.0,108.1
BURWASH A,YT,1971,13.1,10.0
CARCROSS,YT,1971,13.8,3.6
CARMACKS,YT,1971,15.5,37.3
CASINO CREEK,YT,1971,11.8,71.9
CLINTON CREEK,YT,1971,14.3,71.3
DAWSON,YT,1971,15.8,43.0
DRURY CREEK,YT,1971,15.1,25.9
EAGLE RIVER,ON,1971,14.7,53.4
HAINES APPS #4,YT,1971,13.9,6.7
HAINES JUNCTION,YT,1971,13.6,7.0
JOHNSONS CROSSING,YT,1971,14.4,5.8
KLONDIKE,YT,1971,10.6,71.4
KLUANE LAKE,YT,1971,13.1,5.6
KOMAKUK BEACH A,YT,1971,9.0,20.1
MAYO A,YT,1971,16.3,47.9
OLD CROW A,YT,1971,14.4,13.9
PARKIN,YT,1971,13.8,8.1
PELLY RANCH,YT,1971,15.5,24.2
QUIET LAKE,YT,1971,14.8,8.4
ROSS RIVER A,YT,1971,14.0,12.5
SHELDON LAKE,YT,1971,13.5,25.6
SHINGLE POINT A,YT,1971,11.6,28.3
SWIFT RIVER,YT,1971,13.6,12.6
TESLIN A,YT,1971,15.2,2.9
TUCHITUA,YT,1971,14.5,15.2
WATSON LAKE A,YT,1971,16.7,4.1
WHITEHORSE A,YT,1971,15.8,5.7
WOLF CREEK,YT,1971,14.4,8.9
ANGUS TOWER,NT,1971,15.4,39.7
CAPE PARRY A,NT,1971,7.2,13.9
FORT GOOD HOPE A,NT,1971,17.0,70.6
FORT MCPHERSON,NT,1971,16.3,50.5
FORT RELIANCE,NT,1971,14.9,20.6
FORT RESOLUTION A,NT,1971,14.6,11.5
FORT SIMPSON A,NT,1971,16.8,46.1
FORT SMITH A,NT,1971,15.7,25.4
HAY RIVER A,NT,1971,15.7,37.3
HAY RIVER PARADISE GDNS,NT,1971,15.9,48.5
INUVIK A,NT,1971,14.6,24.6
NICHOLSON PENINSULA,NT,1971,9.1,23.1
NORMAN WELLS A,NT,1971,17.4,70.5
PORT RADIUM,NT,1971,12.7,20.1
TUKTOYAKTUK,NT,1971,11.5,24.0
TUKTOYAKTUK A,NT,1971,11.5,23.6
TUNGSTEN,NT,1971,13.1,30.5
WRIGLEY A,NT,1971,16.4,52.9
YELLOWKNIFE A,NT,1971,16.1,11.6
YOHIN,NT,1971,7.9,45.2
BAKER LAKE A,NU,1971,11.9,43.4
CHESTERFIELD,NU,1971,10.0,3.0
CLINTON POINT,NU,1971,8.9,26.1
CONTWOYTO LAKE,NU,1971,9.6,35.9
COPPERMINE,NU,1971,11.1,31.5
CORAL HARBOUR A,NU,1971,9.2,20.1
ENNADAI LAKE,NU,1971,12.6,24.4
JENNY LIND ISLAND A,NU,1971,7.2,51.3
LADY FRANKLIN POINT A,NU,1971,7.1,40.6
PELLY BAY,NU,1971,7.9,11.5
SHEPHERD BAY A,NU,1971,9.2,3.4
ALERT,NU,1971,3.9,18.1
ARCTIC BAY,NU,1971,5.4,2.4
BATHURST ISLAND,NU,1971,6.6,7.1
BREVOORT ISLAND,NU,1971,2.3,159.6
FOX FIVE,NU,1971,5.6,25.7
BROUGHTON VILLAGE,NU,1971,3.2,29.7
BYRON BAY A,NU,1971,10.2,26.0
CAMBRIDGE BAY A,NU,1971,9.3,33.6
CAPE DORSET A,NU,1971,7.1,33.7
CAPE DYER A,NU,1971,5.4,68.7
CAPE HOOPER,NU,1971,4.0,31.7
CLYDE A,NU,1971,3.8,18.5
DEWAR LAKES,NU,1971,6.5,99.3
EUREKA,NU,1971,7.0,2.8
GLADMAN POINT A,NU,1971,8.6,30.5
HALL BEACH A,NU,1971,5.7,8.1
IQALUIT A,NU,1971,6.6,94.8
ISACHSEN,NU,1971,4.7,9.0
LONGSTAFF BLUFF,NU,1971,8.4,27.3
MACKAR INLET,NU,1971,7.3,25.7
MEIGHEN ISLAND ICE CAP,NU,1971,0.8,9.7
REA POINT,NU,1971,5.2,31.5
RESOLUTE CARS,NU,1971,5.8,14.2
RESOLUTION ISLAND,NU,1971,2.7,78.0
MEIGHEN ISLAND NORTH,NU,1971,2.1,6.9
MOULD BAY A,NT,1971,5.9,17.8
SACHS HARBOUR A,NT,1971,7.0,19.1
ALDER FLATS LO,AB,1971,14.8,185.2
ALLIANCE,AB,1971,16.2,101.9
AMISK,AB,1971,15.9,103.4
AURORA LO,AB,1971,14.4,159.3
BASELINE LO,AB,1971,12.4,69.6
BLACKSTONE LO,AB,1971,13.2,118.8
BRAZEAU LO,AB,1971,14.6,190.3
BRIGHTVIEW,AB,1971,15.1,212.6
BROWNFIELD,AB,1971,15.3,118.5
CALMAR,AB,1971,15.8,165.5
CAMROSE,AB,1971,15.8,117.1
CHEDDERVILLE CDA EPF,AB,1971,14.6,104.3
CLEARWATER,AB,1971,13.2,81.4
CORONATION A,AB,1971,16.3,83.4
EDMONTON INT'L A,AB,1971,15.0,126.4
EDMONTON CITY CENTRE A,AB,1971,16.8,127.0
EDMONTON NAMAO A,AB,1971,15.9,111.9
EDMONTON STONY PLAIN,AB,1971,15.5,186.2
ELK POINT,AB,1971,15.2,98.2
ELLERSLIE,PE,1971,19.2,103.7
FORESTBURG PLANT SITE,AB,1971,16.7,101.0
FORT SASKATCHEWAN,AB,1971,16.2,81.9
GLENEVIS,AB,1971,15.2,187.8
HORSESHOE LAKE,AB,1971,16.7,123.9
HUGHENDEN,AB,1971,15.5,121.5
KINSELLA RANCH,AB,1971,15.7,85.7
KITSCOTY,AB,1971,15.7,130.5
LLOYDMINSTER NORTH,AB,1971,15.8,117.2
MARWAYNE,AB,1971,16.2,141.6
MINBURN GRAZING RESERVE,AB,1971,15.2,87.4
O CHIESE LO,AB,1971,14.2,165.8
PRAIRIE CREEK RS,AB,1971,12.3,115.6
RANFURLY,AB,1971,15.6,110.6
ROCKY MTN HOUSE,AB,1971,15.1,139.7
ST LINA,AB,1971,15.2,81.4
SEDGEWICK,AB,1971,15.5,84.5
SION,AB,1971,15.1,137.0
STETTLER,AB,1971,15.3,109.8
TULLIBY LAKE,AB,1971,15.5,109.6
VEGREVILLE CDA,AB,1971,15.1,109.0
VERMILION A,AB,1971,15.3,111.6
VIKING NORTH,AB,1971,15.3,105.2
WARWICK,AB,1971,15.2,88.5
WASTINA HEMARUKA,AB,1971,16.1,86.0
WETASKIWIN,AB,1971,15.9,156.1
ACME CDA EPF,AB,1971,16.4,65.5
BASHAW,AB,1971,16.2,122.6
BOWDEN,AB,1971,15.2,67.3
BURNSTICK LO,AB,1971,14.5,64.3
CRAIGMYLE,AB,1971,16.6,83.7
CROSSFIELD,AB,1971,14.9,66.5
DUCHESS,AB,1971,17.4,37.3
ECKVILLE SOUTH,AB,1971,14.9,103.0
EMPRESS,AB,1971,18.2,35.2
FINNEGAN,AB,1971,16.9,39.9
HANNA,AB,1971,16.2,77.3
HUXLEY EAST,AB,1971,17.7,89.2
LACOMBE CDA,AB,1971,15.5,141.0
OLDS,AB,1971,15.4,70.8
PINE LAKE,AB,1971,14.8,127.1
RED DEER A,AB,1971,15.2,107.6
RIMBEY,AB,1971,15.2,148.5
SCOTFIELD,AB,1971,16.4,44.3
SIBBALD,AB,1971,16.9,62.1
SUNDRE RS,AB,1971,13.4,61.7
THREE HILLS,AB,1971,15.7,57.4
THREE HILLS TOWN,AB,1971,16.2,62.5
TROCHU EQUITY,AB,1971,16.3,65.0
WIMBORNE GAS PLANT,AB,1971,15.6,48.0
BOW ISLAND RIVERS DEV,AB,1971,19.4,9.2
BROOKS,AB,1971,17.8,25.1
BROOKS AHRC,AB,1971,17.8,20.1
BLACKIE,AB,1971,15.9,52.5
CALDWELL,AB,1971,15.8,62.2
CALGARY GLENMORE DAM,AB,1971,16.1,45.6
CALGARY INT'L A,AB,1971,16.0,73.5
CARDSTON,AB,1971,16.6,45.7
CARWAY,AB,1971,15.0,35.5
CLARESHOLM WATERWORKS,AB,1971,17.0,41.4
COWLEY,AB,1971,16.2,54.1
FOREMOST,AB,1971,17.9,16.3
FORT MACLEOD,AB,1971,17.8,32.1
GLEICHEN,AB,1971,16.6,55.2
HIGH RIVER,AB,1971,14.9,49.7
LETHBRIDGE A,AB,1971,18.1,26.2
LETHBRIDGE BEGAMY,AB,1971,19.7,12.7
LETHBRIDGE CDA,AB,1971,17.6,46.3
LETHBRIDGE COUNTY,AB,1971,20.0,16.6
MEDICINE HAT A,AB,1971,18.4,9.5
PINCHER CREEK,AB,1971,16.6,46.6
QUEENSTOWN,AB,1971,17.4,57.1
RAINIER,AB,1971,17.8,36.2
RAYMOND,AB,1971,17.2,32.0
STRATHMORE EAST,AB,1971,16.2,63.5
SUFFIELD A,AB,1971,17.9,12.7
TABER,AB,1971,18.4,38.8
TURNER VALLEY,AB,1971,14.4,40.4
UNIVERSITY OF CALGARY,AB,1971,15.8,70.9
VAUXHALL CDA,AB,1971,17.6,25.7
ADEN,AB,1971,18.6,23.4
MANYBERRIES CDA,AB,1971,18.1,13.9
MILK RIVER,AB,1971,18.5,21.4
WHISKEY GAP,AB,1971,14.6,34.0
BALDY LO,AB,1971,9.6,56.6
BANFF,AB,1971,15.0,33.9
BEAVER MINES,AB,1971,15.5,46.0
BIGHORN DAM,AB,1971,15.5,22.6
BLUEHILL LO,AB,1971,11.9,46.8
BLAIRMORE HQTS RS,AB,1971,14.1,53.1
CARBONDALE LO,AB,1971,9.4,22.4
CASTLE,AB,1971,14.0,51.4
COLEMAN,AB,1971,14.0,56.6
COLUMBIA ICEFIELD,AB,1971,9.1,32.7
ELBOW RS,AB,1971,12.5,44.8
GHOST RS,AB,1971,13.9,80.5
GRAVE FLATS LO,AB,1971,9.5,103.8
HIGHWOOD AU (B1),AB,1971,12.7,32.0
IRONSTONE LO,AB,1971,11.7,45.8
JASPER,AB,1971,14.9,84.3
KANANASKIS,AB,1971,14.8,34.0
KANANASKIS BOUNDARY RS,AB,1971,13.8,20.5
KANANASKIS LO,AB,1971,11.3,47.5
KISKA LO,AB,1971,11.0,52.7
LAKE LOUISE,AB,1971,12.3,36.2
LIVINGSTONE LO,AB,1971,11.7,49.9
MOCKINGBIRD LO,AB,1971,12.9,54.0
MOUNT EISENHOWER,AB,1971,12.3,27.4
NORDEGG RS,AB,1971,12.4,70.7
PEKISKO,AB,1971,13.3,33.5
PIGEON LO,AB,1971,13.3,36.4
PORCUPINE LO,AB,1971,13.8,59.5
RASPBERRY LO,AB,1971,9.8,32.7
RED DEER RS,AB,1971,12.0,38.7
SHEEP RS,AB,1971,13.4,47.8
TORRENS LO,AB,1971,10.6,178.6
WHISTLER LO,AB,1971,14.0,20.1
WILLOW CREEK,AB,1971,18.1,10.9
CLARESHOLM TROUT CREEK,AB,1971,15.9,45.8
ADAMS CREEK LO,AB,1971,8.7,76.4
ALGAR LO,AB,1971,14.5,97.1
ANSELL LO,AB,1971,14.0,185.9
ATHABASCA 2,AB,1971,15.7,107.0
ATHABASCA LO,AB,1971,12.5,194.1
BERLAND LO,AB,1971,13.5,225.1
BIRCH MOUNTAIN LO,AB,1971,14.1,45.4
BITUMONT LO,AB,1971,16.2,58.2
BUCKTON LO,AB,1971,13.6,37.2
CAMPSIE,AB,1971,15.5,147.5
CARROT CREEK LO,AB,1971,14.3,180.3
CHISHOLM LO,AB,1971,14.7,101.6
CHRISTINA LO,AB,1971,14.7,96.3
CONKLIN LO,AB,1971,15.1,92.6
COWPAR LO,AB,1971,15.2,103.9
DEER MOUNTAIN LO,AB,1971,13.3,189.1
EAGLE LO,AB,1971,13.9,176.6
EDSON A,AB,1971,14.4,208.5
ENILDA LO,AB,1971,15.8,89.7
ENTRANCE,AB,1971,13.8,194.8
ENTRANCE RS,AB,1971,13.8,155.5
FLATTOP LO,AB,1971,14.2,153.0
FORT MCMURRAY A,AB,1971,15.9,48.6
GOOSE MOUNTAIN LO,AB,1971,12.0,192.1
GORDON LAKE LO,AB,1971,15.4,55.6
GRANDE LO,AB,1971,15.5,61.1
HEART LAKE LO,AB,1971,14.4,145.4
HIGH PRAIRIE,AB,1971,15.3,102.6
HINTON FTS,AB,1971,14.6,164.2
HOUSE MOUNTAIN LO,AB,1971,12.9,169.4
HUCKLEBERRY LO,AB,1971,12.8,182.9
JASPER EAST GATE,AB,1971,15.4,166.4
